,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
0,148.19000244140625,223.52999877929688,159.75,212.6699981689453,204.94000244140625,256.1300048828125,58.220001220703125,94.30000305175781,175.1199951171875,60.88999938964844,395.8699951171875,329.239990234375,227.6999969482422,132.9923553466797,52.0099983215332,179.44000244140625,154.72000122070312,56.63999938964844,238.49000549316406,194.16000366210938,78.68000030517578,304.3599853515625,167.7899932861328,145.08999633789062,160.83999633789062,429.7099914550781,231.36000061035156,55.52000045776367,48.29999923706055,151.4499969482422
1,149.7100067138672,225.63999938964844,160.4499969482422,219.39999389648438,209.13999938964844,260.5199890136719,58.540000915527344,96.7300033569336,177.66000366210938,62.060001373291016,401.45001220703125,327.739990234375,229.11000061035156,133.47991943359375,53.22999954223633,177.61000061035156,156.6999969482422,56.439998626708984,239.66000366210938,194.67999267578125,78.37999725341797,304.6499938964844,169.72000122070312,144.35000610351562,159.89999389648438,425.3599853515625,234.13999938964844,55.41999816894531,48.5099983215332,150.4499969482422
2,149.6199951171875,224.3800048828125,161.1999969482422,221.42999267578125,212.58999633789062,259.6600036621094,59.31999969482422,97.83999633789062,178.47000122070312,63.2599983215332,408.55999755859375,324.8999938964844,230.44000244140625,133.69024658203125,53.810001373291016,175.38999938964844,157.6699981689453,56.0099983215332,238.42999267578125,194.75,77.72000122070312,302.6199951171875,169.97999572753906,143.17999267578125,160.63999938964844,423.4100036621094,234.24000549316406,55.0099983215332,48.34000015258789,148.89999389648438
3,148.36000061035156,221.58999633789062,166.17999267578125,221.02999877929688,214.75999450683594,260.8500061035156,59.349998474121094,98.51000213623047,178.30999755859375,63.869998931884766,413.1199951171875,323.8800048828125,230.66000366210938,133.70936584472656,53.810001373291016,174.22999572753906,160.9199981689453,56.06999969482422,238.8300018310547,194.33999633789062,77.06999969482422,302.010009765625,169.83999633789062,142.6699981689453,162.5800018310547,419.739990234375,232.58999633789062,54.93000030517578,48.650001525878906,148.9600067138672
4,147.5399932861328,221.47000122070312,165.50999450683594,216.5,211.24000549316406,267.7900085449219,59.20000076293945,97.22000122070312,176.55999755859375,63.650001525878906,412.4100036621094,321.4800109863281,230.8800048828125,132.67686462402344,53.130001068115234,173.3000030517578,161.75,55.540000915527344,236.9499969482422,195.32000732421875,76.56999969482422,299.0899963378906,166.9199981689453,142.4199981689453,159.97000122070312,416.8500061035156,230.52000427246094,54.599998474121094,47.84000015258789,147.35000610351562
5,148.60000610351562,222.77999877929688,168.64999389648438,221.75,212.8300018310547,266.5299987792969,59.02000045776367,98.63999938964844,180.13999938964844,65.37999725341797,419.69000244140625,323.3800048828125,231.13999938964844,133.27915954589844,53.88999938964844,172.92999267578125,163.0500030517578,55.650001525878906,237.47999572753906,195.0500030517578,76.30000305175781,299.7200012207031,167.5800018310547,142.30999755859375,162.08999633789062,418.760009765625,232.69000244140625,54.77000045776367,48.47999954223633,146.52000427246094
6,153.1199951171875,224.1300048828125,164.25999450683594,217.66000366210938,211.4499969482422,264.9700012207031,59.130001068115234,98.38999938964844,179.97999572753906,63.97999954223633,413.6000061035156,327.1000061035156,231.8699951171875,132.85850524902344,53.939998626708984,173.66000366210938,160.44000244140625,56.18000030517578,236.58999633789062,196.1699981689453,76.5,303.5899963378906,168.02999877929688,142.92999267578125,159.44000244140625,418.29998779296875,231.22999572753906,54.77000045776367,48.630001068115234,147.6999969482422
7,151.8300018310547,225.52999877929688,165.9600067138672,219.5,210.8699951171875,265.2699890136719,59.02000045776367,96.7699966430664,181.3000030517578,62.900001525878906,413.510009765625,326.17999267578125,231.91000366210938,134.1682586669922,54.060001373291016,173.1300048828125,159.9499969482422,56.310001373291016,237.4600067138672,194.74000549316406,76.29000091552734,301.8800048828125,164.74000549316406,142.38999938964844,159.7100067138672,416.2699890136719,229.10000610351562,55.0,50.75,148.10000610351562
8,152.50999450683594,223.35000610351562,164.44000244140625,218.1199951171875,207.9600067138672,268.32000732421875,59.040000915527344,95.70999908447266,183.47999572753906,62.540000915527344,413.6600036621094,323.6400146484375,229.8000030517578,133.1739959716797,53.66999816894531,173.74000549316406,159.72000122070312,56.689998626708984,238.14999389648438,193.44000244140625,76.18000030517578,301.8299865722656,164.55999755859375,143.83999633789062,159.27999877929688,417.3500061035156,230.1199951171875,54.939998626708984,50.290000915527344,147.77999877929688
9,153.64999389648438,225.9600067138672,162.0500030517578,220.8300018310547,211.77999877929688,264.1499938964844,59.529998779296875,97.70999908447266,181.86000061035156,62.619998931884766,414.5,327.739990234375,230.97000122070312,133.85276794433594,53.72999954223633,174.92999267578125,160.4600067138672,56.77000045776367,239.8699951171875,194.88999938964844,77.12000274658203,301.1499938964844,163.6699981689453,143.9499969482422,159.97000122070312,423.7099914550781,224.17999267578125,55.290000915527344,51.779998779296875,148.55999755859375
